t,cwnd,wmax,k,t_lastloss
1.0,10.726070229193617,4.169775457701303,30.0,0.0
2.0,12.142047649783136,4.169775457701303,30.0,0.0
3.0,13.560068434019106,4.169775457701303,30.0,0.0
4.0,14.772302297204318,4.169775457701303,30.0,0.0
5.0,15.81862519709315,4.169775457701303,30.0,0.0
6.0,16.870149705072112,4.169775457701303,30.0,0.0
7.0,18.18596987610838,4.169775457701303,30.0,0.0
8.0,20.0715298949283,4.169775457701303,30.0,0.0
9.0,22.812038041295544,4.169775457701303,30.0,0.0
10.0,26.602108673731472,4.169775457701303,30.0,0.0
11.0,31.52108926004149,4.169775457701303,30.0,0.0
12.0,37.56513501530088,4.169775457701303,30.0,0.0
13.0,44.69520466603125,4.169775457701303,30.0,0.0
14.0,52.86779656237675,4.169775457701303,30.0,0.0
15.0,62.0465283051192,4.169775457701303,30.0,0.0
16.0,72.20389558679332,4.169775457701303,30.0,0.0
17.0,83.31982399286704,4.169775457701303,30.0,0.0
18.0,95.37975428364742,4.169775457701303,30.0,0.0
19.0,108.37305407489042,4.169775457701303,30.0,0.0
20.0,122.29185885462519,4.169775457701303,30.0,0.0
21.0,137.13026327164945,4.169775457701303,30.0,0.0
22.0,152.88376378905105,4.169775457701303,30.0,0.0
23.0,169.54887372528168,4.169775457701303,30.0,0.0
24.0,187.1228549180305,4.169775457701303,30.0,0.0
25.0,205.60352834699398,4.169775457701303,30.0,0.0
26.0,224.98913863433125,4.169775457701303,30.0,0.0
27.0,245.2782557241098,4.169775457701303,30.0,0.0
28.0,266.46970254795707,4.169775457701303,30.0,0.0
29.0,288.5625010974452,4.169775457701303,30.0,0.0
30.0,311.55583170896455,4.169775457701303,30.0,0.0
31.0,335.4490019562163,4.169775457701303,30.0,0.0
32.0,360.2414226164024,4.169775457701303,30.0,0.0
33.0,385.9325889064975,4.169775457701303,30.0,0.0
34.0,412.5220656901139,4.169775457701303,30.0,0.0
35.0,440.00947570771075,4.169775457701303,30.0,0.0
36.0,468.3944901319325,4.169775457701303,30.0,0.0
37.0,497.67682092796014,4.169775457701303,30.0,0.0
38.0,527.8562146275234,4.169775457701303,30.0,0.0
39.0,558.9324472193044,4.169775457701303,30.0,0.0
40.0,590.9053199278904,4.169775457701303,30.0,0.0
41.0,623.774655705161,4.169775457701303,30.0,0.0
42.0,657.5402962968775,4.169775457701303,30.0,0.0
43.0,692.2020997767296,4.169775457701303,30.0,0.0
44.0,727.7599384626313,4.169775457701303,30.0,0.0
45.0,764.2136971474239,4.169775457701303,30.0,0.0
46.0,801.5632715896173,4.169775457701303,30.0,0.0
47.0,839.8085672203362,4.169775457701303,30.0,0.0
48.0,878.9494980309163,4.169775457701303,30.0,0.0
49.0,918.985985612163,4.169775457701303,30.0,0.0
50.0,959.9179583215027,4.169775457701303,30.0,0.0
51.0,1001.7453505584481,4.169775457701303,30.0,0.0
52.0,1044.468102132164,4.169775457701303,30.0,0.0
53.0,1088.086157707657,4.169775457701303,30.0,0.0
54.0,1132.5994663193273,4.169775457701303,30.0,0.0
55.0,1178.007980942439,4.169775457701303,30.0,0.0
56.0,1224.311658114561,4.169775457701303,30.0,0.0
57.0,1271.510457600255,4.169775457701303,30.0,0.0
58.0,1319.604342093311,4.169775457701303,30.0,0.0
59.0,1368.5932769516771,4.169775457701303,30.0,0.0
60.0,1418.4772299609392,4.169775457701303,30.0,0.0
61.0,1469.2561711227982,4.169775457701303,30.0,0.0
62.0,1520.9300724654934,4.169775457701303,30.0,0.0
63.0,1573.4989078735414,4.169775457701303,30.0,0.0
64.0,1626.962652934513,4.169775457701303,30.0,0.0
65.0,1681.321284800881,4.169775457701303,30.0,0.0
66.0,1736.57478206522,4.169775457701303,30.0,0.0
67.0,1792.7231246472709,4.169775457701303,30.0,0.0
68.0,1849.7662936915597,4.169775457701303,30.0,0.0
69.0,1907.7042714744337,4.169775457701303,30.0,0.0
70.0,1966.53704131951,4.169775457701303,30.0,0.0
71.0,2026.2645875206567,4.169775457701303,30.0,0.0
72.0,2086.8868952717285,4.169775457701303,30.0,0.0
73.0,2148.403950602372,4.169775457701303,30.0,0.0
74.0,2210.815740319293,4.169775457701303,30.0,74.0
75.0,17.260702291936177,4.169775457701303,30.0,74.0
76.0,17.762028428445447,4.169775457701303,30.0,74.0
77.0,18.414977228670327,4.169775457701303,30.0,74.0
78.0,19.043979654486087,4.169775457701303,30.0,74.0
79.0,19.6313002158021,4.169775457701303,30.0,74.0
80.0,20.284389767570445,4.169775457701303,30.0,74.0
81.0,21.210414332424136,4.169775457701303,30.0,74.0
82.0,22.68451534504515,4.169775457701303,30.0,74.0
83.0,24.994161592278363,4.169775457701303,30.0,74.0
84.0,28.366033522616647,4.169775457701303,30.0,74.0
85.0,32.91694583713474,4.169775457701303,30.0,74.0
86.0,38.662285945598306,4.169775457701303,30.0,74.0
87.0,45.56164204014545,4.169775457701303,30.0,74.0
88.0,53.559800441985026,4.169775457701303,30.0,74.0
89.0,62.607020831112564,4.169775457701303,30.0,74.0
90.0,72.66450121690625,4.169775457701303,30.0,74.0
91.0,83.70362919437419,4.169775457701303,30.0,74.0
92.0,95.70367595053168,4.169775457701303,30.0,74.0
93.0,108.64961357988726,4.169775457701303,30.0,74.0
94.0,122.53044365240419,4.169775457701303,30.0,74.0
95.0,137.3380083662303,4.169775457701303,30.0,74.0
96.0,153.06616660882426,4.169775457701303,30.0,74.0
97.0,169.71022574110938,4.169775457701303,30.0,74.0
98.0,187.2665477191921,4.169775457701303,30.0,74.0
99.0,205.7322732967234,4.169775457701303,30.0,74.0
100.0,225.1051264977291,4.169775457701303,30.0,74.0
101.0,245.38327413850715,4.169775457701303,30.0,74.0
102.0,266.5652235319904,4.169775457701303,30.0,74.0
103.0,288.6497470078875,4.169775457701303,30.0,74.0
104.0,311.63582550851663,4.169775457701303,30.0,74.0
105.0,335.5226059279374,4.169775457701303,30.0,74.0
106.0,360.30936847577175,4.169775457701303,30.0,74.0
107.0,385.99550144064733,4.169775457701303,30.0,74.0
108.0,412.58048147781506,4.169775457701303,30.0,74.0
109.0,440.0638580654014,4.169775457701303,30.0,74.0
110.0,468.44524113854567,4.169775457701303,30.0,74.0
111.0,497.7242911695328,4.169775457701303,30.0,74.0
112.0,527.9007111477463,4.169775457701303,30.0,74.0
113.0,558.974240047901,4.169775457701303,30.0,74.0
114.0,590.9446474736194,4.169775457701303,30.0,74.0
115.0,623.8117292363096,4.169775457701303,30.0,74.0
116.0,657.5753036837089,4.169775457701303,30.0,74.0
117.0,692.2352086333964,4.169775457701303,30.0,74.0
118.0,727.7912987976598,4.169775457701303,30.0,74.0
119.0,764.2434436098732,4.169775457701303,30.0,74.0
120.0,801.5915253808693,4.169775457701303,30.0,74.0
121.0,839.8354377280139,4.169775457701303,30.0,74.0
122.0,878.9750842308105,4.169775457701303,30.0,74.0
123.0,919.01037727561,4.169775457701303,30.0,74.0
124.0,959.941237058925,4.169775457701303,30.0,74.0
125.0,1001.7675907243622,4.169775457701303,30.0,74.0
126.0,1044.4893716126037,4.169775457701303,30.0,74.0
127.0,1088.10651860742,4.169775457701303,30.0,74.0
128.0,1132.618975563578,4.169775457701303,30.0,74.0
129.0,1178.026690804844,4.169775457701303,30.0,74.0
130.0,1224.3296166821965,4.169775457701303,30.0,74.0
131.0,1271.5277091839307,4.169775457701303,30.0,74.0
132.0,1319.6209275906324,4.169775457701303,30.0,74.0
133.0,1368.6092341690676,4.169775457701303,30.0,74.0
134.0,1418.4925938999272,4.169775457701303,30.0,74.0
135.0,1469.2709742351055,4.169775457701303,30.0,74.0
136.0,1520.9443448808152,4.169775457701303,30.0,74.0
137.0,1573.512677603364,4.169775457701303,30.0,74.0
138.0,1626.9759460548585,4.169775457701303,30.0,74.0
139.0,1681.334125616472,4.169775457701303,30.0,74.0
140.0,1736.587193257232,4.169775457701303,30.0,74.0
141.0,1792.7351274065502,4.169775457701303,30.0,74.0
142.0,1849.7779078389492,4.169775457701303,30.0,74.0
143.0,1907.7155155696357,4.169775457701303,30.0,74.0
144.0,1966.5479327597407,4.169775457701303,30.0,74.0
145.0,2026.2751426301888,4.169775457701303,30.0,74.0
146.0,2086.8971293832906,4.169775457701303,30.0,74.0
147.0,2148.413878131252,4.169775457701303,30.0,74.0
148.0,2210.825374830901,4.169775457701303,30.0,74.0
149.0,2274.1316062239976,4.169775457701303,30.0,74.0
150.0,2338.332559782578,4.169775457701303,30.0,74.0
151.0,2403.4282236588438,4.169775457701303,30.0,74.0
152.0,2469.418586639153,4.169775457701303,30.0,74.0
153.0,2536.3036381017273,4.169775457701303,30.0,74.0
154.0,2604.0833679777256,4.169775457701303,30.0,74.0
155.0,2672.757766715375,4.169775457701303,30.0,74.0
156.0,2742.3268252468815,4.169775457701303,30.0,74.0
157.0,2812.7905349578673,4.169775457701303,30.0,74.0
158.0,2884.1488876591143,4.169775457701303,30.0,74.0
159.0,2956.40187556041,4.169775457701303,30.0,74.0
160.0,3029.549491246318,4.169775457701303,30.0,74.0
161.0,3103.591727653701,4.169775457701303,30.0,74.0
162.0,3178.5285780508593,4.169775457701303,30.0,74.0
163.0,3254.360036018142,4.169775457701303,30.0,74.0
164.0,3331.0860954299164,4.169775457701303,30.0,74.0
165.0,3408.7067504377774,4.169775457701303,30.0,74.0
166.0,3487.221995454908,4.169775457701303,30.0,74.0
167.0,3566.6318251414923,4.169775457701303,30.0,74.0
168.0,3646.936234391098,4.169775457701303,30.0,74.0
169.0,3728.1352183179606,4.169775457701303,30.0,74.0
170.0,3810.2287722450924,4.169775457701303,30.0,74.0
171.0,3893.2168916931587,4.169775457701303,30.0,74.0
172.0,3977.0995723700626,4.169775457701303,30.0,74.0
173.0,4061.8768101611854,4.169775457701303,30.0,74.0
174.0,4147.548601120236,4.169775457701303,30.0,74.0
175.0,4234.11494146066,4.169775457701303,30.0,74.0
176.0,4321.575827547583,4.169775457701303,30.0,74.0
177.0,4409.931255890228,4.169775457701303,30.0,74.0
178.0,4499.181223134796,4.169775457701303,30.0,74.0
179.0,4589.325726057756,4.169775457701303,30.0,74.0
180.0,4680.364761559541,4.169775457701303,30.0,74.0
181.0,4772.298326658601,4.169775457701303,30.0,74.0
182.0,4865.1264184857955,4.169775457701303,30.0,74.0
183.0,4958.849034279113,4.169775457701303,30.0,74.0
184.0,5053.466171378677,4.169775457701303,30.0,74.0
185.0,5148.977827222038,4.169775457701303,30.0,74.0
186.0,5245.383999339721,4.169775457701303,30.0,74.0
